dataset,model,accuracy,f1_macro,precision_macro,recall_macro,f1_negative,f1_neutral,f1_positive
tweeteval_sentiment_3class_test,"RoBERTa-base (no fine-tuning, reference)",0.3512520868113522,0.17329709249649947,0.1170840289371174,0.3333333333333333,0.0,0.0,0.5198912774894984
sst_3class_test,"RoBERTa-base (no fine-tuning, reference)",0.41856540084388183,0.1967083085465001,0.13952180028129393,0.3333333333333333,0.0,0.0,0.5901249256395003
selfbuilt_database_corrected,"RoBERTa-base (no fine-tuning, reference)",0.175,0.16608024767417556,0.1768644036800963,0.17825552825552826,0.10752688172043011,0.22077922077922077,0.16993464052287582
